"2020-05-29 13:20:37",EventLogger,log_opened,"Log opened upon Event Logger startup."
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001705,"4100|29"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001711,"4100|30"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001717,"4100|53"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001722,"4100|38"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001728,"4100|39"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001743,"4200|1"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001749,"4200|3"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001755,"4200|2"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001761,"4200|4"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001767,"4200|5"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001773,"4200|32"
"2020-05-29 13:20:50","AIR:401000000","building-cog",401001779,"4200|10|m|4"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001781,"4200|13"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001787,"4200|38"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001793,"4200|37"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001799,"4200|23"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001805,"4200|24"
"2020-05-29 13:20:50","AIR:401000000","building-cog",401001811,"4200|27|m|3"
"2020-05-29 13:20:50","AIR:401000000","building-cog",401001813,"4200|29|m|4"
"2020-05-29 13:20:50","AIR:401000000","building-cog",401001815,"4200|30|m|3"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001817,"4200|31"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001823,"4200|9"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001829,"4200|7"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001835,"4200|12"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001841,"4200|36"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001847,"4200|34"
"2020-05-29 13:20:50","AIR:401000000","building-cog",401001852,"4200|16|m|3"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001854,"4200|19"
"2020-05-29 13:20:50","AIR:401000000","building-cog",401001860,"4200|20|m|2"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001862,"4200|22"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001868,"4200|35"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001874,"4200|25"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001880,"4200|28"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001886,"4200|33"
"2020-05-29 13:20:50","AIR:401000000","building-cog",401001891,"4200|18|m|3"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001893,"4200|17"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001908,"4300|1"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001914,"4300|3"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001920,"4300|20"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001925,"4300|4"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001931,"4300|7"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001937,"4300|21"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001943,"4300|27"
"2020-05-29 13:20:50","AIR:401000000","building-toon",401001949,"4300|28"
